user_id,activity_date,activity_time,hour_of_day,step_total,data_source
1503960366,2016-04-19,00:00:00,0,0,fitbit_kaggle
1503960366,2016-04-21,00:00:00,0,17,fitbit_kaggle
1503960366,2016-04-27,00:00:00,0,277,fitbit_kaggle
1503960366,2016-05-09,00:00:00,0,135,fitbit_kaggle
1503960366,2016-04-26,00:00:00,0,101,fitbit_kaggle
1503960366,2016-05-04,00:00:00,0,400,fitbit_kaggle
1503960366,2016-05-08,00:00:00,0,147,fitbit_kaggle
1503960366,2016-05-07,00:00:00,0,168,fitbit_kaggle
1503960366,2016-05-03,00:00:00,0,55,fitbit_kaggle
1503960366,2016-05-05,00:00:00,0,70,fitbit_kaggle
1503960366,2016-04-18,00:00:00,0,416,fitbit_kaggle
1503960366,2016-04-23,00:00:00,0,182,fitbit_kaggle
1503960366,2016-05-10,00:00:00,0,0,fitbit_kaggle
1503960366,2016-04-12,00:00:00,0,373,fitbit_kaggle
1503960366,2016-04-15,00:00:00,0,83,fitbit_kaggle
1503960366,2016-04-28,00:00:00,0,0,fitbit_kaggle
1503960366,2016-04-29,00:00:00,0,202,fitbit_kaggle
1503960366,2016-04-22,00:00:00,0,0,fitbit_kaggle
1503960366,2016-04-20,00:00:00,0,16,fitbit_kaggle
1503960366,2016-05-06,00:00:00,0,186,fitbit_kaggle
1503960366,2016-04-16,00:00:00,0,459,fitbit_kaggle
1503960366,2016-04-17,00:00:00,0,0,fitbit_kaggle
1503960366,2016-05-11,00:00:00,0,266,fitbit_kaggle
1503960366,2016-04-25,00:00:00,0,95,fitbit_kaggle
1503960366,2016-04-13,00:00:00,0,144,fitbit_kaggle
1503960366,2016-04-14,00:00:00,0,81,fitbit_kaggle
1503960366,2016-04-30,00:00:00,0,19,fitbit_kaggle
1503960366,2016-05-02,00:00:00,0,0,fitbit_kaggle
1503960366,2016-05-01,00:00:00,0,247,fitbit_kaggle
1503960366,2016-04-24,00:00:00,0,141,fitbit_kaggle
1503960366,2016-05-06,01:00:00,1,4,fitbit_kaggle
1503960366,2016-04-26,01:00:00,1,178,fitbit_kaggle
1503960366,2016-05-04,01:00:00,1,18,fitbit_kaggle
1503960366,2016-04-14,01:00:00,1,58,fitbit_kaggle
1503960366,2016-05-01,01:00:00,1,59,fitbit_kaggle
1503960366,2016-04-28,01:00:00,1,127,fitbit_kaggle
1503960366,2016-04-20,01:00:00,1,36,fitbit_kaggle
1503960366,2016-04-22,01:00:00,1,0,fitbit_kaggle
